#Adrift data
#Probabilities of a particle being in a determined coordinate after being released from a sampling site coordinate (year 0, month 0)
#in a two year interval, with 2 month steps between registers.
SAL				
year	month	lat	lng	probability
0	0	-2	314	1
0	2	1	309	0.00095
0	2	1	310	0.04223
0	2	1	311	0.03215
0	2	2	309	0.00095
0	2	2	310	0.07942
0	2	2	311	0.01072
0	2	3	309	0.12291
0	2	3	310	0.23164
0	2	4	309	0.01544
0	2	4	310	0.17806
0	2	5	308	0.00536
0	2	5	309	0.0041
0	2	5	310	0.05988
0	2	6	308	0.01513
0	2	6	309	0.00032
0	2	6	310	0.00567
0	2	6	311	0.01639
0	2	7	308	0.00473
0	2	7	310	0.00158
0	2	7	311	0.09644
0	2	7	312	0.00063
0	2	8	310	0.00851
0	2	8	311	0.0353
0	2	8	312	0.00189
0	2	9	308	0.00189
0	2	9	309	0.00063
0	2	9	310	0.0063
0	2	9	313	0.00032
0	2	10	308	0.00189
0	2	10	309	0.00977
0	2	10	310	0.00284
0	2	11	309	0.00221
0	2	13	304	0.00158
0	2	13	305	0.00221
0	4	1	317	0.00156
0	4	1	318	0.00114
0	4	1	319	0.00042
0	4	1	320	0.0003
0	4	2	311	0.0004
0	4	2	317	0.0006
0	4	3	310	0.00053
0	4	3	311	0.00042
0	4	3	316	0.0003
0	4	3	318	0.00084
0	4	3	319	0.0269
0	4	3	320	0.0003
0	4	3	321	0.01338
0	4	3	322	0.0017
0	4	3	323	0.0003
0	4	4	308	0.00592
0	4	4	313	0.00041
0	4	4	316	0.00081
0	4	4	319	0.00094
0	4	4	320	0.00138
0	4	4	323	0.00048
0	4	5	305	0.01125
0	4	5	306	0.00161
0	4	5	307	0.00059
0	4	5	309	0.00036
0	4	5	313	0.00048
0	4	5	323	0.0003
0	4	5	324	0.0006
0	4	5	325	0.00048
0	4	6	304	0.00089
0	4	6	305	0.00029
0	4	6	306	0.0004
0	4	6	308	0.00053
0	4	6	309	0.00053
0	4	6	310	0.00118
0	4	7	303	0.00044
0	4	7	304	0.0008
0	4	7	305	0.00077
0	4	7	306	0.00116
0	4	7	307	0.00109
0	4	7	308	0.00105
0	4	7	309	0.00033
0	4	7	310	0.01033
0	4	7	311	0.001
0	4	8	301	0.00036
0	4	8	302	0.00086
0	4	8	303	0.00096
0	4	8	304	0.00282
0	4	8	305	0.00073
0	4	8	306	0.00064
0	4	8	307	0.00092
0	4	8	308	0.00061
0	4	8	309	0.00124
0	4	8	310	0.00382
0	4	8	311	0.002
0	4	8	312	0.00117
0	4	9	299	0.0005
0	4	9	300	0.00078
0	4	9	301	0.0012
0	4	9	302	0.00148
0	4	9	303	0.00247
0	4	9	304	0.01628
0	4	9	305	0.00077
0	4	9	306	0.00119
0	4	9	307	0.00074
0	4	9	308	0.00617
0	4	9	309	0.00425
0	4	9	310	0.00265
0	4	9	311	0.00084
0	4	9	312	0.00044
0	4	9	314	0.0003
0	4	9	315	0.00511
0	4	9	316	0.00086
0	4	10	299	0.0011
0	4	10	300	0.00208
0	4	10	301	0.03194
0	4	10	302	0.00486
0	4	10	303	0.00558
0	4	10	304	0.00336
0	4	10	305	0.00173
0	4	10	306	0.00914
0	4	10	307	0.01901
0	4	10	308	0.00922
0	4	10	309	0.00607
0	4	10	310	0.00697
0	4	10	314	0.00222
0	4	10	315	0.00777
0	4	11	299	0.00119
0	4	11	300	0.00301
0	4	11	301	0.02045
0	4	11	302	0.00178
0	4	11	303	0.005
0	4	11	304	0.00464
0	4	11	305	0.00191
0	4	11	306	0.04321
0	4	11	307	0.0303
0	4	11	308	0.00649
0	4	11	309	0.00387
0	4	11	310	0.00437
0	4	11	311	0.02797
0	4	11	314	0.00039
0	4	11	315	0.00085
0	4	12	298	0.00033
0	4	12	299	0.01686
0	4	12	300	0.01471
0	4	12	301	0.0023
0	4	12	302	0.00067
0	4	12	303	0.00373
0	4	12	304	0.00133
0	4	12	305	0.0105
0	4	12	306	0.03548
0	4	12	307	0.05363
0	4	12	308	0.01904
0	4	12	309	0.00895
0	4	12	310	0.0018
0	4	12	312	0.00068
0	4	12	313	0.0023
0	4	13	296	0.00108
0	4	13	297	0.00151
0	4	13	298	0.0078
0	4	13	299	0.03969
0	4	13	300	0.00176
0	4	13	301	0.00239
0	4	13	302	0.00181
0	4	13	303	0.00143
0	4	13	304	0.0051
0	4	13	305	0.03051
0	4	13	306	0.02277
0	4	13	307	0.03072
0	4	13	308	0.01644
0	4	13	309	0.0136
0	4	13	310	0.00615
0	4	13	311	0.00162
0	4	13	313	0.00273
0	4	13	315	0.00168
0	4	14	293	0.00079
0	4	14	294	0.00032
0	4	14	295	0.00083
0	4	14	296	0.00031
0	4	14	297	0.00219
0	4	14	298	0.00883
0	4	14	299	0.00191
0	4	14	300	0.00384
0	4	14	301	0.00384
0	4	14	302	0.00122
0	4	14	303	0.00309
0	4	14	304	0.00207
0	4	14	305	0.0254
0	4	14	306	0.00633
0	4	14	307	0.01254
0	4	14	308	0.0123
0	4	14	309	0.00362
0	4	14	310	0.00218
0	4	15	292	0.00031
0	4	15	294	0.00179
0	4	15	296	0.00098
0	4	15	297	0.0323
0	4	15	298	0.00036
0	4	15	299	0.00124
0	4	15	300	0.00324
0	4	15	301	0.00578
0	4	15	302	0.00144
0	4	15	303	0.00087
0	4	15	304	0.00052
0	4	15	305	0.0009
0	4	15	306	0.00239
0	4	15	307	0.00205
0	4	15	308	0.00251
0	4	15	309	0.00379
0	4	15	310	0.00025
0	4	16	292	0.00123
0	4	16	297	0.00983
0	4	16	299	0.00044
0	4	16	300	0.00079
0	4	16	301	0.00066
0	4	16	303	0.00122
0	4	16	306	0.00239
0	4	16	307	0.00061
0	4	16	308	0.00058
0	4	16	309	0.00158
0	4	17	292	0.00101
0	4	17	293	0.00058
0	4	17	294	0.00039
0	4	17	295	0.00042
0	4	17	297	0.001
0	4	17	299	0.00029
0	4	17	302	0.00062
0	4	17	304	0.00044
0	4	17	306	0.00055
0	4	17	307	0.00025
0	4	17	308	0.00091
0	4	17	309	0.00072
0	4	18	299	0.00112
0	4	18	300	0.02798
0	6	2	321	0.00027
0	6	3	316	0.00028
0	6	3	317	0.00039
0	6	3	321	0.00146
0	6	3	336	0.01456
0	6	4	307	0.00247
0	6	4	308	0.00159
0	6	4	316	0.00045
0	6	4	336	0.00042
0	6	4	337	0.00103
0	6	4	338	0.00039
0	6	4	339	0.00041
0	6	5	304	0.00057
0	6	5	306	0.00029
0	6	5	313	0.00033
0	6	5	314	0.00108
0	6	5	315	0.00037
0	6	5	316	0.00059
0	6	5	319	0.00045
0	6	5	320	0.00109
0	6	5	321	0.00099
0	6	5	322	0.00127
0	6	5	323	0.00161
0	6	5	324	0.00136
0	6	5	325	0.00066
0	6	5	331	0.0004
0	6	5	332	0.00053
0	6	5	333	0.00125
0	6	5	334	0.00028
0	6	5	337	0.00468
0	6	5	338	0.0016
0	6	6	303	0.00227
0	6	6	304	0.00676
0	6	6	312	0.00036
0	6	6	313	0.00261
0	6	6	314	0.00191
0	6	6	315	0.00144
0	6	6	316	0.00047
0	6	6	318	0.00063
0	6	6	321	0.0004
0	6	6	325	0.00047
0	6	6	326	0.00074
0	6	6	328	0.00056
0	6	6	330	0.00034
0	6	6	331	0.00027
0	6	6	333	0.00035
0	6	6	334	0.0031
0	6	6	337	0.00268
0	6	6	339	0.00045
0	6	7	310	0.00029
0	6	7	311	0.00045
0	6	7	312	0.00062
0	6	7	313	0.00129
0	6	7	314	0.00036
0	6	7	315	0.00211
0	6	7	316	0.00173
0	6	7	318	0.00057
0	6	7	319	0.00027
0	6	7	320	0.00031
0	6	7	321	0.00094
0	6	7	322	0.00054
0	6	7	323	0.0005
0	6	7	324	0.00028
0	6	7	325	0.00067
0	6	7	326	0.00046
0	6	7	329	0.00044
0	6	7	336	0.00026
0	6	7	337	0.00064
0	6	8	309	0.0009
0	6	8	310	0.00093
0	6	8	311	0.00064
0	6	8	312	0.00034
0	6	8	315	0.00111
0	6	8	318	0.00035
0	6	8	319	0.00108
0	6	8	320	0.00033
0	6	8	330	0.00026
0	6	9	301	0.00029
0	6	9	302	0.00026
0	6	9	304	0.00048
0	6	9	305	0.00057
0	6	9	306	0.00083
0	6	9	307	0.00062
0	6	9	308	0.00029
0	6	9	309	0.00238
0	6	9	310	0.00074
0	6	9	311	0.00228
0	6	9	314	0.00026
0	6	10	300	0.002
0	6	10	301	0.0019
0	6	10	305	0.00119
0	6	10	306	0.00062
0	6	10	309	0.0008
0	6	10	310	0.00184
0	6	11	299	0.00086
0	6	11	300	0.00069
0	6	11	301	0.00143
0	6	11	302	0.00129
0	6	11	303	0.00059
0	6	11	305	0.0013
0	6	11	306	0.00027
0	6	11	307	0.00027
0	6	11	308	0.00075
0	6	11	309	0.00068
0	6	11	310	0.00134
0	6	12	292	0.00076
0	6	12	295	0.00028
0	6	12	296	0.00166
0	6	12	298	0.00066
0	6	12	299	0.00064
0	6	12	300	0.00588
0	6	12	301	0.00396
0	6	12	302	0.00307
0	6	12	303	0.00257
0	6	12	304	0.00144
0	6	12	305	0.0008
0	6	12	306	0.00037
0	6	12	308	0.00036
0	6	12	309	0.00255
0	6	12	310	0.00119
0	6	13	287	0.0006
0	6	13	288	0.00138
0	6	13	289	0.00034
0	6	13	291	0.00034
0	6	13	292	0.00126
0	6	13	293	0.00058
0	6	13	294	0.00119
0	6	13	295	0.01889
0	6	13	296	0.00092
0	6	13	297	0.00092
0	6	13	299	0.00351
0	6	13	300	0.00366
0	6	13	301	0.01356
0	6	13	302	0.00352
0	6	13	303	0.0015
0	6	13	304	0.0073
0	6	13	305	0.00487
0	6	13	306	0.00327
0	6	13	307	0.00126
0	6	13	308	0.00046
0	6	13	310	0.00075
0	6	13	311	0.00034
0	6	14	280	0.0004
0	6	14	285	0.00278
0	6	14	286	0.00494
0	6	14	287	0.00364
0	6	14	289	0.00042
0	6	14	291	0.00157
0	6	14	292	0.0005
0	6	14	293	0.00126
0	6	14	294	0.00138
0	6	14	295	0.00682
0	6	14	296	0.0085
0	6	14	297	0.00219
0	6	14	298	0.0061
0	6	14	299	0.00302
