trajectory,time,lon,lat
1,2010-01-08,-44.408615,-2.371621
2,2010-01-08,-44.428196,-2.3688662
3,2010-01-08,-44.407436,-2.3701558
4,2010-01-08,-44.402973,-2.370059
5,2010-01-08,-44.40564,-2.3714914
6,2010-01-08,-44.430614,-2.3712623
7,2010-01-08,-44.412514,-2.3743541
8,2010-01-08,-44.421757,-2.3748915
9,2010-01-08,-44.42338,-2.3715894
10,2010-01-08,-44.41602,-2.3734713
11,2010-01-08,-44.42269,-2.3719783
12,2010-01-08,-44.40194,-2.3732069
13,2010-01-08,-44.410812,-2.3735619
14,2010-01-08,-44.420628,-2.373145
15,2010-01-08,-44.41994,-2.373534
16,2010-01-08,-44.419254,-2.373923
17,2010-01-08,-44.398502,-2.3751137
18,2010-01-08,-44.416817,-2.3709717
19,2010-01-08,-44.417877,-2.3747008
20,2010-01-08,-44.41719,-2.37509
21,2010-01-08,-44.435715,-2.3942106
22,2010-01-08,-44.40626,-2.3788106
23,2010-01-08,-44.395065,-2.3770206
24,2010-01-08,-44.41444,-2.3766456
25,2010-01-08,-44.389637,-2.3790026
26,2010-01-08,-44.423187,-2.3815157
27,2010-01-08,-44.413063,-2.3774233
28,2010-01-08,-44.412376,-2.3778124
29,2010-01-08,-44.394207,-2.3814106
30,2010-01-08,-44.394066,-2.3842483
31,2010-01-08,-44.405224,-2.3851233
32,2010-01-08,-44.409622,-2.379368
33,2010-01-08,-44.408936,-2.379757
34,2010-01-08,-44.42899,-2.3790612
35,2010-01-08,-44.407745,-2.3808374
36,2010-01-08,-44.40242,-2.3915489
37,2010-01-08,-44.392128,-2.3835182
38,2010-01-08,-44.37264,-2.3440416
39,2010-01-08,-44.4055,-2.3817017
40,2010-01-08,-44.403797,-2.3948245
41,2010-01-08,-44.40412,-2.3824794
42,2010-01-08,-44.413265,-2.385101
43,2010-01-08,-44.41517,-2.3842409
44,2010-01-08,-44.381466,-2.3912296
45,2010-01-08,-44.402992,-2.3869548
46,2010-01-08,-44.40169,-2.383406
47,2010-01-08,-44.40068,-2.3844242
48,2010-01-08,-44.38936,-2.38512
49,2010-01-08,-44.419353,-2.384612
50,2010-01-08,-44.399307,-2.385202
51,2010-01-08,-44.402954,-2.399293
52,2010-01-08,-44.39793,-2.38598
53,2010-01-08,-44.398163,-2.3934827
54,2010-01-08,-44.40345,-2.4027197
55,2010-01-08,-44.395866,-2.3871467
56,2010-01-08,-44.39518,-2.3875356
57,2010-01-08,-44.394493,-2.3879244
58,2010-01-08,-44.394493,-2.3879244
59,2010-01-08,-44.393803,-2.3883135
60,2010-01-08,-44.39269,-2.398055
61,2010-01-08,-44.394745,-2.405849
62,2010-01-08,-44.391273,-2.4012048
63,2010-01-08,-44.394745,-2.3905838
64,2010-01-08,-44.410404,-2.3897665
65,2010-01-08,-44.389675,-2.390647
66,2010-01-08,-44.38899,-2.391036
67,2010-01-08,-44.400013,-2.3958213
68,2010-01-08,-42.697735,-2.5922284
69,2010-01-08,-44.38761,-2.3918138
70,2010-01-08,-44.386925,-2.3922026
71,2010-01-08,-42.826454,-2.5464997
72,2010-01-08,-42.870895,-2.5194597
73,2010-01-08,-42.878223,-2.5267425
74,2010-01-08,-44.391655,-2.395772
75,2010-01-08,-42.899075,-2.5188065
76,2010-01-08,-44.383488,-2.3941474
77,2010-01-08,-42.93634,-2.510337
78,2010-01-08,-44.38211,-2.394925
79,2010-01-08,-42.963238,-2.4929588
80,2010-01-08,-42.979187,-2.4907618
81,2010-01-08,-42.995293,-2.472945
