trajectory,time,lon,lat
1,2010-01-08,-47.90524,-25.074331
2,2010-01-08,-47.88641,-25.052708
3,2010-01-08,-47.905655,-25.072844
4,2010-01-08,-47.906796,-25.068588
5,2010-01-08,-47.90555,-25.071856
6,2010-01-08,-47.9058,-25.07288
7,2010-01-08,-47.903812,-25.077374
8,2010-01-08,-47.90406,-25.07778
9,2010-01-08,-47.911465,-25.064102
10,2010-01-08,-47.90499,-25.076122
11,2010-01-08,-47.904793,-25.074245
12,2010-01-08,-47.906357,-25.06897
13,2010-01-08,-47.9046,-25.073809
14,2010-01-08,-47.905537,-25.072584
15,2010-01-08,-47.905113,-25.074127
16,2010-01-08,-47.947895,-25.080557
17,2010-01-08,-47.88634,-25.053125
18,2010-01-08,-47.90653,-25.069181
19,2010-01-08,-47.88654,-25.05179
20,2010-01-08,-47.88664,-25.046463
21,2010-01-08,-47.89728,-25.087652
22,2010-01-08,-47.905067,-25.075977
23,2010-01-08,-47.90777,-25.06625
24,2010-01-08,-47.910984,-25.064093
25,2010-01-08,-47.907032,-25.069624
26,2010-01-08,-47.905384,-25.073248
27,2010-01-08,-47.905827,-25.072119
28,2010-01-08,-47.906826,-25.06706
29,2010-01-08,-47.90512,-25.073772
30,2010-01-08,-47.90429,-25.07679
31,2010-01-08,-47.903717,-25.078651
32,2010-01-08,-47.961357,-25.084742
33,2010-01-08,-47.90765,-25.066854
34,2010-01-08,-47.95294,-25.08338
35,2010-01-08,-47.90544,-25.07204
36,2010-01-08,-47.901966,-25.083416
37,2010-01-08,-47.905094,-25.073257
38,2010-01-08,-47.88749,-25.045038
39,2010-01-08,-47.90965,-25.06388
40,2010-01-08,-47.901516,-25.084024
41,2010-01-08,-47.958256,-25.084957
42,2010-01-08,-47.906284,-25.07141
43,2010-01-08,-47.90672,-25.069145
44,2010-01-08,-47.904163,-25.07716
45,2010-01-08,-47.905075,-25.073996
46,2010-01-08,-47.906567,-25.070105
47,2010-01-08,-47.90817,-25.064877
48,2010-01-08,-47.906628,-25.070929
49,2010-01-08,-47.90662,-25.067944
50,2010-01-08,-47.908733,-25.065073
51,2010-01-08,-47.90244,-25.083086
52,2010-01-08,-47.90678,-25.069208
53,2010-01-08,-47.903934,-25.077389
54,2010-01-08,-47.90128,-25.083635
55,2010-01-08,-47.886787,-25.046427
56,2010-01-08,-47.907,-25.069504
57,2010-01-08,-47.90638,-25.071466
58,2010-01-08,-47.908672,-25.064796
59,2010-01-08,-47.966167,-25.0856
60,2010-01-08,-47.903507,-25.079613
61,2010-01-08,-47.899315,-25.08534
62,2010-01-08,-47.90268,-25.081844
63,2010-01-08,-47.90646,-25.070198
64,2010-01-08,-47.968388,-25.086212
65,2010-01-08,-47.906227,-25.07169
66,2010-01-08,-47.969185,-25.085533
67,2010-01-08,-47.90552,-25.07211
68,2010-01-08,-47.9048,-25.074188
69,2010-01-08,-47.966537,-25.085539
70,2010-01-08,-47.906364,-25.071903
71,2010-01-08,-47.886425,-25.050234
72,2010-01-08,-47.905586,-25.073425
73,2010-01-08,-47.973484,-25.083162
74,2010-01-08,-47.90649,-25.070444
75,2010-01-08,-47.906017,-25.071493
76,2010-01-08,-47.97103,-25.084358
77,2010-01-08,-47.904,-25.078691
78,2010-01-08,-47.886887,-25.046402
79,2010-01-08,-47.97467,-25.082993
80,2010-01-08,-47.905224,-25.07574
81,2010-01-08,-47.908123,-25.065811
82,2010-01-08,-47.909016,-25.06442
83,2010-01-08,-47.904404,-25.078999
84,2010-01-08,-47.90652,-25.068365
85,2010-01-08,-47.90544,-25.073025
86,2010-01-08,-47.9067,-25.071424
87,2010-01-08,-47.904675,-25.076149
88,2010-01-08,-47.97851,-25.082634
89,2010-01-08,-47.908573,-25.0648
90,2010-01-08,-47.886715,-25.046358
91,2010-01-08,-47.88694,-25.046389
92,2010-01-08,-47.90567,-25.072178
93,2010-01-08,-47.97737,-25.083183
94,2010-01-08,-47.906853,-25.071022
95,2010-01-08,-47.90945,-25.064098
96,2010-01-08,-47.90768,-25.06596
97,2010-01-08,-47.9078,-25.066515
98,2010-01-08,-47.88647,-25.046618
99,2010-01-08,-47.906162,-25.07125
100,2010-01-08,-47.90951,-25.064398
101,2010-01-15,-48.014038,-25.085804
102,2010-01-08,-47.906906,-25.068596
103,2010-01-08,-47.909306,-25.064877
104,2010-01-08,-47.887856,-25.05419
105,2010-01-08,-47.905003,-25.075953
106,2010-01-15,-47.998005,-25.08231
107,2010-01-08,-47.905193,-25.074068
108,2010-01-08,-47.97248,-25.083422
109,2010-01-15,-48.000046,-25.082237
110,2010-01-15,-48.0012,-25.082138
111,2010-01-08,-47.906666,-25.069923
112,2010-01-08,-47.884235,-25.033684
113,2010-01-15,-47.98597,-25.082323
114,2010-01-08,-47.90693,-25.068138
115,2010-01-08,-47.90541,-25.073137
116,2010-01-08,-47.886307,-25.039783
117,2010-01-15,-48.000713,-25.082304
118,2010-01-08,-47.9084,-25.065487
119,2010-01-08,-47.905327,-25.073023
120,2010-01-08,-47.90554,-25.072382
121,2010-01-08,-47.90712,-25.071278
122,2010-01-15,-47.989265,-25.081059
123,2010-01-08,-47.905792,-25.071499
124,2010-01-15,-48.013905,-25.084349
125,2010-01-08,-47.91127,-25.063839
126,2010-01-08,-47.906326,-25.070915
127,2010-01-15,-47.98902,-25.08131
128,2010-01-15,-47.96159,-25.065226
129,2010-01-08,-47.905495,-25.07387
130,2010-01-08,-47.88709,-25.054153
131,2010-01-15,-47.98773,-25.081438
132,2010-01-08,-47.907745,-25.065525
133,2010-01-08,-47.906574,-25.06956
134,2010-01-08,-47.90736,-25.06707
135,2010-01-15,-47.962723,-25.066965
136,2010-01-08,-47.90732,-25.069326
137,2010-01-08,-47.90744,-25.067278
138,2010-01-08,-47.9078,-25.065638
139,2010-01-08,-47.887337,-25.051418
140,2010-01-08,-47.905224,-25.07571
141,2010-01-08,-47.904873,-25.074997
142,2010-01-08,-47.88814,-25.043247
143,2010-01-08,-47.904316,-25.07901
144,2010-01-08,-47.90674,-25.070766
145,2010-01-15,-47.961163,-25.063856
146,2010-01-08,-47.90989,-25.063969
147,2010-01-08,-47.90578,-25.07197
148,2010-01-08,-47.906216,-25.07188
149,2010-01-08,-47.905323,-25.075974
150,2010-01-08,-47.904335,-25.078245
