trajectory,time,lon,lat
1,2010-01-08,-43.15118,-23.062912
4,2010-01-08,-43.14208,-23.066647
5,2010-01-08,-43.147118,-23.065138
12,2010-01-08,-43.146885,-23.064413
23,2010-01-08,-43.145508,-23.066647
39,2010-01-08,-43.148716,-23.062656
41,2010-01-08,-43.147366,-23.063667
46,2010-01-08,-43.148296,-23.064093
53,2010-01-08,-43.14844,-23.06403
60,2010-01-08,-43.142944,-23.066435
61,2010-01-08,-43.149345,-23.061779
62,2010-01-08,-43.142635,-23.066507
64,2010-01-08,-43.150177,-22.963581
184,2010-01-08,-43.147076,-22.96145
199,2010-06-04,-49.349457,-28.9309
212,2010-04-16,-49.2982,-28.888699
219,2010-03-19,-48.362625,-27.491308
220,2010-04-16,-49.276226,-28.865849
223,2010-04-02,-48.385406,-27.48321
224,2010-04-16,-49.29007,-28.879196
230,2010-03-19,-48.427193,-27.528193
234,2010-04-23,-49.411106,-28.9819
237,2010-05-28,-48.891132,-28.630516
238,2010-01-15,-43.147144,-23.06311
239,2010-03-19,-48.42748,-27.528639
240,2010-04-16,-49.231388,-28.834143
241,2010-04-16,-49.254898,-28.849873
243,2010-03-19,-48.40056,-27.49333
244,2010-04-16,-49.23003,-28.834932
245,2010-04-23,-49.3355,-28.91993
246,2010-01-15,-43.149162,-22.962439
247,2010-03-19,-48.41866,-27.522034
248,2010-03-19,-48.42149,-27.521511
249,2010-03-26,-48.44776,-27.623749
250,2010-04-16,-49.28085,-28.871246
251,2010-03-19,-48.408916,-27.50828
253,2010-03-19,-48.56465,-27.194853
254,2010-03-26,-48.501934,-27.21536
255,2010-03-19,-48.415016,-27.390991
256,2010-05-28,-48.83937,-28.610334
257,2010-07-23,-46.730022,-24.149551
258,2010-06-25,-45.594177,-23.793606
259,2010-01-15,-43.148838,-23.061691
260,2010-03-19,-48.586967,-27.209217
261,2010-04-16,-49.27883,-28.871834
262,2010-04-23,-49.353405,-28.932333
263,2010-06-04,-49.319492,-28.907448
264,2010-04-09,-48.801556,-28.5742
265,2010-01-15,-43.142647,-23.065487
266,2010-03-26,-48.47996,-27.672392
267,2010-03-19,-48.399635,-27.496408
268,2010-03-19,-48.38061,-27.455631
269,2010-03-19,-48.426716,-27.525158
270,2010-06-04,-48.813854,-28.604998
271,2010-04-30,-49.49021,-29.06013
272,2010-01-15,-43.14608,-23.064167
274,2010-04-23,-49.49815,-29.071686
275,2010-07-23,-46.73669,-24.15597
276,2010-03-19,-48.390354,-27.48907
277,2010-04-16,-49.319443,-28.905596
278,2010-04-16,-49.276176,-28.867104
279,2010-04-16,-47.506493,-24.722586
280,2010-05-28,-46.39137,-24.023335
281,2010-04-23,-49.42007,-28.993757
282,2010-06-04,-48.820873,-28.592323
283,2010-05-28,-46.749954,-24.164612
284,2010-03-26,-48.40597,-27.182863
285,2010-06-04,-48.936665,-28.650837
286,2010-03-26,-48.41336,-27.186201
287,2010-06-04,-48.81326,-28.604563
289,2010-05-07,-49.358505,-28.934776
290,2010-04-30,-47.632946,-24.802044
291,2010-05-28,-47.190937,-24.536366
293,2010-01-15,-43.087368,-22.987309
294,2010-04-16,-49.009045,-28.692238
295,2010-06-04,-46.776985,-24.180326
296,2010-04-30,-47.61549,-24.788904
297,2010-05-07,-49.332806,-28.915127
299,2010-04-30,-49.4359,-29.010538
300,2010-05-28,-48.762733,-28.5224
301,2010-06-04,-46.778694,-24.181417
302,2010-06-04,-48.822205,-28.611338
303,2010-06-04,-47.815063,-24.947237
304,2010-06-11,-46.71834,-24.146404
305,2010-12-10,-49.191254,-28.806906
307,2010-04-16,-49.312172,-28.897116
308,2010-05-07,-49.317448,-28.906246
309,2010-05-14,-48.71086,-28.345709
310,2010-06-04,-46.789562,-24.185337
311,2010-06-04,-49.3561,-28.935053
313,2010-09-10,-48.588036,-26.793686
314,2010-06-11,-49.417664,-28.986334
316,2010-03-26,-48.40512,-27.183279
320,2010-05-14,-48.7084,-28.341822
322,2010-10-15,-48.11993,-25.332241
323,2010-06-04,-49.35355,-28.934006
324,2010-04-23,-49.3898,-28.966026
325,2010-06-04,-48.81718,-28.588764
327,2010-06-04,-48.893116,-28.62955
328,2010-06-04,-49.346767,-28.925926
330,2010-06-04,-49.101604,-28.745699
332,2010-05-28,-47.03903,-24.427767
333,2010-03-26,-48.376343,-27.285679
334,2010-06-04,-48.81844,-28.601686
335,2010-06-04,-46.762833,-24.173481
336,2010-06-04,-49.305824,-28.88882
337,2010-04-23,-49.23435,-28.835585
339,2010-06-04,-49.2744,-28.862669
340,2010-06-04,-48.85659,-28.61496
341,2010-06-04,-48.821426,-28.609018
342,2010-06-04,-49.301994,-28.892538
343,2010-06-04,-48.8708,-28.619514
344,2010-04-23,-49.30638,-28.891434
345,2010-06-04,-49.29661,-28.881634
346,2010-06-04,-48.85421,-28.614962
347,2010-06-04,-49.302296,-28.88875
348,2010-06-04,-49.25018,-28.849173
349,2010-06-04,-48.896137,-28.631262
350,2010-06-04,-49.203667,-28.813322
351,2010-06-04,-48.874493,-28.621708
352,2010-01-15,-43.146328,-22.962019
353,2010-06-04,-48.88614,-28.627043
354,2010-06-25,-47.990124,-25.212767
355,2010-06-04,-48.867317,-28.618599
356,2010-06-04,-48.888687,-28.62937
357,2010-07-02,-48.153564,-25.364805
358,2010-06-04,-48.884842,-28.625765
361,2010-09-17,-48.582047,-27.1522
362,2010-06-04,-48.87427,-28.621393
364,2010-09-10,-48.630787,-26.994703
365,2010-05-21,-48.433014,-27.847021
366,2010-07-30,-46.91702,-24.26393
367,2010-09-17,-48.480907,-27.139652
368,2010-06-18,-48.06862,-25.281063
369,2010-05-21,-48.433685,-27.848715
370,2010-06-25,-47.91034,-25.168358
371,2010-06-18,-48.071842,-25.277777
372,2010-06-18,-48.07427,-25.286512
373,2010-06-04,-48.87629,-28.623762
374,2010-05-14,-48.653206,-28.323448
375,2010-06-04,-48.814594,-28.605034
376,2010-07-02,-48.160103,-25.370039
