trajectory,time,lon,lat
10,2010-01-08,-46.626003,-0.80630004
15,2010-01-08,-46.624767,-0.8058995
21,2010-01-08,-46.650757,-0.82657444
31,2010-01-08,-46.62475,-0.8143774
34,2010-01-08,-46.643562,-0.78519136
36,2010-01-08,-46.618984,-0.8198909
40,2010-01-08,-46.618237,-0.82051164
51,2010-01-08,-46.616554,-0.82190824
53,2010-01-08,-46.61618,-0.8222186
54,2010-01-08,-46.651707,-0.81499606
60,2010-01-08,-46.61506,-0.8231497
61,2010-01-08,-46.62487,-0.8448543
62,2010-01-08,-46.614685,-0.82346004
67,2010-01-08,-46.643936,-0.8334245
72,2010-01-08,-46.61825,-0.8174577
80,2010-01-08,-46.617596,-0.82136726
141,2010-01-08,-46.630882,-0.84289545
149,2010-01-08,-46.626404,-0.83998984
291,2010-01-22,-45.35061,-1.3093275
292,2010-01-22,-45.350674,-1.3093275
293,2010-01-22,-45.354122,-1.3105875
294,2010-01-22,-45.355133,-1.3103714
295,2010-01-22,-45.353966,-1.3126353
296,2010-01-22,-45.357224,-1.3119403
297,2010-01-22,-45.354877,-1.3144838
298,2010-01-22,-45.35863,-1.3136806
299,2010-01-22,-45.359562,-1.3155301
300,2010-01-22,-45.36032,-1.3174376
301,2010-01-22,-45.35791,-1.322135
302,2010-01-22,-45.360268,-1.3195407
303,2010-01-22,-45.36034,-1.3216387
304,2010-01-22,-45.35911,-1.3240168
305,2010-01-22,-45.36013,-1.3238223
306,2010-01-22,-45.365017,-1.3249005
307,2010-01-22,-45.356068,-1.3309953
308,2010-01-22,-45.41588,-1.29159
309,2010-01-22,-45.416096,-1.2914933
310,2010-01-22,-45.35722,-1.3329667
311,2010-01-22,-45.41434,-1.297236
312,2010-01-22,-45.418,-1.2951782
313,2010-01-22,-45.419224,-1.2968996
314,2010-01-22,-45.42486,-1.2935272
315,2010-01-22,-45.424183,-1.296436
316,2010-01-22,-45.42324,-1.299492
317,2010-01-22,-45.430378,-1.295025
318,2010-01-22,-45.42919,-1.2958009
319,2010-01-22,-45.431126,-1.2945706
320,2010-01-22,-45.430496,-1.2975404
321,2010-01-22,-45.43354,-1.2980922
322,2010-01-22,-45.432972,-1.3010828
323,2010-01-22,-45.434254,-1.3002605
324,2010-01-22,-45.43806,-1.3002969
325,2010-01-22,-45.437622,-1.3028115
326,2010-01-22,-45.443287,-1.2988399
327,2010-01-22,-45.44558,-1.2971075
328,2010-01-22,-45.4431,-1.2990108
329,2010-01-22,-45.437134,-1.3075079
330,2010-01-22,-45.43707,-1.3075885
331,2010-01-22,-45.44646,-1.3011298
332,2010-01-22,-45.44828,-1.2998381
333,2010-01-22,-45.450386,-1.2991604
334,2010-01-22,-45.44971,-1.3006117
335,2010-01-22,-45.44988,-1.3005637
336,2010-01-22,-45.44863,-1.3014666
337,2010-01-22,-45.45141,-1.2993829
338,2010-01-22,-45.451004,-1.2997141
339,2010-01-22,-45.449623,-1.2988222
340,2010-01-22,-45.44749,-1.2991152
355,2010-01-22,-45.532406,-1.208665
357,2010-01-22,-45.530514,-1.2153095
358,2010-01-22,-45.53478,-1.208035
359,2010-01-22,-45.53561,-1.2074909
360,2010-01-22,-45.537388,-1.204751
361,2010-01-22,-45.539738,-1.2024015
362,2010-01-22,-45.54031,-1.2021357
363,2010-01-22,-45.540333,-1.2031152
548,2010-01-22,-46.616547,-0.8417783
564,2010-01-22,-46.63004,-0.8423139
565,2010-10-22,-61.427242,15.63022
566,2010-11-19,-59.519592,13.211891
567,2010-11-19,-59.60592,13.331239
568,2010-11-26,-61.247856,12.956981
569,2010-11-12,-59.547028,13.233366
570,2010-11-12,-59.454765,13.175323
571,2010-10-29,-59.6222,13.33092
572,2010-12-17,-66.93295,11.824915
574,2010-01-29,-46.641937,-0.7887102
575,2010-12-03,-61.25491,15.333675
576,2010-01-29,-46.640553,-0.7879904
577,2010-01-29,-46.626163,-0.8036572
578,2010-01-29,-46.63902,-0.7948705
579,2010-01-29,-46.625156,-0.8078317
581,2010-01-29,-46.643063,-0.798732
582,2010-01-29,-46.627407,-0.80955744
583,2010-01-29,-46.633,-0.8081771
584,2010-01-29,-46.642086,-0.7885381
585,2010-01-29,-46.627983,-0.81214684
586,2010-01-29,-46.618874,-0.82181287
587,2010-01-29,-46.618965,-0.8317591
588,2010-01-29,-46.622253,-0.81794083
589,2010-01-29,-46.642834,-0.8085844
590,2010-01-29,-46.652813,-0.84296775
591,2010-01-29,-46.652832,-0.8031036
592,2010-01-29,-46.65685,-0.80409056
593,2010-01-29,-46.634785,-0.8123539
594,2010-01-29,-46.635757,-0.81238353
595,2010-01-29,-46.62569,-0.83206475
596,2010-01-29,-46.62665,-0.8321084
597,2010-01-29,-46.627533,-0.8221689
598,2010-01-29,-46.656677,-0.8007347
599,2010-01-29,-46.639645,-0.81250185
600,2010-01-29,-46.640614,-0.8125314
601,2010-01-29,-46.641586,-0.81256104
602,2010-01-29,-46.632416,-0.83237034
603,2010-01-29,-46.64256,-0.8125906
604,2010-01-29,-46.63765,-0.81459206
605,2010-01-29,-46.6445,-0.8126498
606,2010-01-29,-46.645473,-0.81267935
607,2010-01-29,-46.833935,-0.76260006
608,2010-01-29,-46.647415,-0.81273854
609,2010-01-29,-46.643555,-0.8064936
610,2010-01-29,-46.639145,-0.83267593
611,2010-01-29,-46.64936,-0.81279767
612,2010-01-29,-46.65033,-0.8128273
613,2010-01-29,-46.64206,-0.82909703
614,2010-01-29,-46.640247,-0.8197301
615,2010-01-29,-46.653248,-0.812916
616,2010-01-29,-46.64675,-0.81811816
617,2010-01-29,-46.649406,-0.81765556
618,2010-01-29,-46.649387,-0.8188222
619,2010-01-29,-46.640423,-0.81785333
620,2010-01-29,-46.678562,-0.84370667
621,2010-01-29,-46.64794,-0.79578
622,2010-01-29,-46.658886,-0.81061536
623,2010-01-29,-46.6584,-0.8128836
624,2010-01-29,-46.831463,-0.7908991
625,2010-01-29,-46.661736,-0.8107027
626,2010-01-29,-46.836998,-0.79060155
627,2010-01-29,-46.65255,-0.8231973
628,2010-01-29,-46.64446,-0.82309645
629,2010-01-29,-46.654476,-0.8232764
630,2010-01-29,-46.662106,-0.81062937
631,2010-01-29,-46.84746,-0.7899834
632,2010-01-29,-46.66509,-0.80447805
633,2010-01-29,-46.660686,-0.82727635
634,2010-01-29,-46.83943,-0.79450595
635,2010-01-29,-46.83943,-0.79450595
636,2010-01-29,-46.660282,-0.8336363
637,2010-01-29,-46.671707,-0.813478
638,2010-01-29,-46.66217,-0.82359284
639,2010-01-29,-46.662098,-0.816798
640,2010-01-29,-46.65793,-0.8209325
641,2010-01-29,-46.672657,-0.8133079
642,2010-01-29,-46.851124,-0.7964817
643,2010-01-29,-46.663914,-0.8232519
644,2010-01-29,-46.677536,-0.81365544
645,2010-01-29,-46.686222,-0.80846786
646,2010-01-29,-46.67948,-0.8137146
647,2010-01-29,-46.666843,-0.82434666
648,2010-01-29,-46.845585,-0.789538
649,2010-01-29,-46.84812,-0.77606386
650,2010-01-29,-46.664692,-0.82396114
651,2010-01-29,-46.673733,-0.83424735
652,2010-01-29,-46.706287,-0.84450233
653,2010-01-29,-46.67852,-0.83069783
654,2010-01-29,-46.677494,-0.81983596
655,2010-01-29,-46.681313,-0.825453
656,2010-01-29,-46.6801,-0.81973404
657,2010-01-29,-46.678528,-0.8242651
658,2010-01-29,-46.71223,-0.8446728
659,2010-01-29,-46.680454,-0.8243442
660,2010-01-29,-46.842064,-0.8025832
661,2010-01-29,-46.843956,-0.8025325
662,2010-01-29,-46.84583,-0.8024814
663,2010-01-29,-46.758865,-0.8266008
664,2010-01-29,-46.848213,-0.8066781
665,2010-01-29,-46.85145,-0.801977
666,2010-01-29,-46.762215,-0.83262545
667,2010-01-29,-46.763397,-0.82211554
668,2010-01-29,-46.68366,-0.8140494
669,2010-01-29,-46.72114,-0.84492844
670,2010-01-29,-46.767036,-0.8327287
671,2010-01-29,-46.860085,-0.8020579
672,2010-01-29,-46.724113,-0.8450137
673,2010-01-29,-46.865932,-0.79047364
674,2010-01-29,-46.865112,-0.80189264
675,2010-01-29,-46.69877,-0.83018404
676,2010-01-29,-46.86423,-0.7970201
677,2010-01-29,-46.69487,-0.8352076
678,2010-01-29,-46.86605,-0.8008807
679,2010-01-29,-46.867752,-0.82021356
680,2010-01-29,-46.70089,-0.83057165
681,2010-01-29,-46.840786,-0.8069634
682,2010-01-29,-46.83593,-0.80156595
683,2010-01-29,-46.83948,-0.8088437
684,2010-01-29,-46.83897,-0.8077815
685,2010-01-29,-46.701595,-0.83551306
686,2010-01-29,-46.85489,-0.8384406
687,2010-01-29,-46.868984,-0.81452966
688,2010-01-29,-46.84582,-0.79556113
689,2010-01-29,-46.840996,-0.8069445
690,2010-01-29,-46.684376,-0.8172003
691,2010-01-29,-46.835743,-0.801956
692,2010-01-29,-46.86751,-0.8157112
693,2010-01-29,-46.84161,-0.7939138
694,2010-01-29,-46.870148,-0.78988284
695,2010-01-29,-46.835873,-0.80700386
696,2010-01-29,-46.862263,-0.80993974
697,2010-01-29,-46.69769,-0.8355697
698,2010-01-29,-46.86114,-0.81333256
699,2010-01-29,-46.70178,-0.8293349
700,2010-01-29,-46.85713,-0.79922473
701,2010-01-29,-46.86334,-0.792871
702,2010-01-29,-46.859966,-0.8016813
703,2010-01-29,-46.85882,-0.80170256
704,2010-01-29,-46.854782,-0.8203585
705,2010-01-29,-46.698963,-0.8278897
706,2010-01-29,-46.68012,-0.8167491
707,2010-01-29,-46.851032,-0.8069873
708,2010-01-29,-46.850807,-0.8135834
709,2010-01-29,-46.766678,-0.8181383
710,2010-01-29,-46.85052,-0.8050471
711,2010-01-29,-46.81804,-0.82961875
712,2010-01-29,-46.847282,-0.810784
713,2010-01-29,-46.849094,-0.79838437
714,2010-01-29,-46.847347,-0.80192745
715,2010-01-29,-46.683983,-0.8242288
