trajectory,time,lon,lat
1,2010-01-08,-41.635704,-2.890074
2,2010-01-08,-41.823006,-2.7544785
3,2010-01-08,-41.63581,-2.891763
4,2010-01-08,-41.644337,-2.8768296
5,2010-01-08,-41.64438,-2.878356
6,2010-01-08,-41.82278,-2.7548797
7,2010-01-08,-41.644485,-2.8814034
8,2010-01-08,-41.82267,-2.7550802
9,2010-01-08,-41.822613,-2.7551806
10,2010-01-08,-41.822613,-2.7551806
11,2010-01-08,-41.822556,-2.755281
12,2010-01-08,-41.65338,-2.8708167
13,2010-01-08,-41.653393,-2.872179
14,2010-01-08,-41.822384,-2.7555819
15,2010-01-08,-41.82233,-2.7556822
16,2010-01-08,-41.822273,-2.7557824
17,2010-01-08,-41.647865,-2.8733873
18,2010-01-08,-41.822216,-2.7558827
19,2010-01-08,-41.82216,-2.755983
20,2010-01-08,-41.8221,-2.7560833
21,2010-01-08,-41.82205,-2.7561836
22,2010-01-08,-41.65367,-2.883028
23,2010-01-08,-41.648125,-2.881041
24,2010-01-08,-41.821877,-2.7564845
25,2010-01-08,-41.671936,-2.8536127
26,2010-01-08,-41.82182,-2.756585
27,2010-01-08,-41.821766,-2.7566853
28,2010-01-08,-41.82171,-2.7567854
29,2010-01-08,-41.671772,-2.8567822
30,2010-01-08,-41.671722,-2.857837
31,2010-01-08,-41.821537,-2.7570863
32,2010-01-08,-41.82148,-2.7571867
33,2010-01-08,-41.821426,-2.757287
34,2010-01-08,-41.821426,-2.757287
35,2010-01-08,-41.82137,-2.7573874
36,2010-01-08,-41.821312,-2.7574875
37,2010-01-08,-41.681416,-2.8480551
38,2010-01-08,-41.65716,-2.8816473
39,2010-01-08,-41.821144,-2.7577884
40,2010-01-08,-41.821087,-2.7578888
41,2010-01-08,-41.82103,-2.7579892
42,2010-01-08,-41.82103,-2.7579892
43,2010-01-08,-41.820972,-2.7580893
44,2010-01-08,-41.69164,-2.8380017
45,2010-01-08,-41.82086,-2.75829
46,2010-01-08,-41.820805,-2.7583904
47,2010-01-08,-41.820747,-2.7584906
48,2010-01-08,-41.691246,-2.84112
49,2010-01-08,-41.820633,-2.7586913
50,2010-01-08,-41.820633,-2.7586913
51,2010-01-08,-41.820576,-2.7587914
52,2010-01-08,-41.820522,-2.7588918
53,2010-01-08,-41.820465,-2.7589922
54,2010-01-08,-41.820408,-2.7590926
55,2010-01-08,-41.82035,-2.7591927
56,2010-01-08,-41.820293,-2.759293
57,2010-01-08,-41.82024,-2.7593935
58,2010-01-08,-41.82024,-2.7593935
59,2010-01-08,-41.820183,-2.7594936
60,2010-01-08,-41.820126,-2.759594
61,2010-01-08,-41.82007,-2.7596943
62,2010-01-08,-41.82001,-2.7597945
63,2010-01-08,-41.819958,-2.7598948
64,2010-01-08,-41.8199,-2.7599952
65,2010-01-08,-41.819843,-2.7600956
66,2010-01-08,-41.819786,-2.7601957
67,2010-01-08,-41.819786,-2.7601957
68,2010-01-08,-41.81973,-2.760296
69,2010-01-08,-41.81967,-2.7603965
70,2010-01-08,-41.81962,-2.7604966
71,2010-01-08,-41.694504,-2.8409524
72,2010-01-08,-41.819504,-2.7606974
73,2010-01-08,-41.70611,-2.825996
74,2010-01-08,-41.81939,-2.7608979
75,2010-01-08,-41.81939,-2.7608979
76,2010-01-08,-41.819336,-2.7609982
77,2010-01-08,-41.81928,-2.7610986
78,2010-01-08,-41.81922,-2.7611988
79,2010-01-08,-41.819164,-2.7612991
80,2010-01-08,-41.819107,-2.7613995
81,2010-01-08,-41.819054,-2.7614996
