trajectory,time,lon,lat
1,2010-01-15,-39.276295,-3.226
2,2010-01-15,-39.28642,-3.2219253
3,2010-01-15,-39.270546,-3.2205768
4,2010-01-15,-39.270233,-3.220508
5,2010-01-15,-39.264652,-3.2243698
6,2010-01-08,-39.06023,-3.4130418
7,2010-01-15,-39.25354,-3.225634
8,2010-01-08,-39.065155,-3.4117632
9,2010-01-15,-39.257088,-3.2237809
10,2010-01-15,-39.240986,-3.2344952
11,2010-01-15,-39.2329,-3.2406666
12,2010-01-08,-39.033028,-3.407375
13,2010-01-15,-39.213955,-3.2603257
14,2010-01-15,-39.191105,-3.2903295
15,2010-01-15,-39.163055,-3.3266425
16,2010-01-15,-39.149456,-3.343313
17,2010-01-15,-39.162777,-3.3267639
18,2010-01-15,-39.13465,-3.3541784
19,2010-01-15,-39.16321,-3.3270397
20,2010-01-15,-39.23467,-3.240715
21,2010-01-08,-39.075455,-3.4112227
22,2010-01-15,-39.11688,-3.3498266
23,2010-01-15,-39.052227,-3.413086
24,2010-01-15,-39.0638,-3.4124372
25,2010-01-15,-39.059883,-3.4109323
26,2010-01-08,-39.065563,-3.4114425
27,2010-01-15,-39.050407,-3.4153361
28,2010-01-15,-39.043377,-3.4170737
29,2010-01-15,-39.036243,-3.417847
30,2010-01-15,-39.032505,-3.4141264
31,2010-01-08,-39.0657,-3.4113357
32,2010-01-15,-39.02509,-3.41087
33,2010-01-08,-39.065754,-3.411293
34,2010-01-15,-39.115234,-3.3504376
35,2010-01-08,-39.06578,-3.4112716
36,2010-01-08,-39.06581,-3.4112504
37,2010-01-15,-39.002926,-3.4001625
38,2010-01-15,-39.029583,-3.4142823
39,2010-01-15,-38.99419,-3.4018447
40,2010-01-08,-39.065918,-3.411165
41,2010-01-15,-39.024178,-3.4074585
42,2010-01-08,-39.065945,-3.4111435
43,2010-01-08,-39.06597,-3.411122
44,2010-02-05,-38.5942,-3.6964846
45,2010-01-08,-39.06603,-3.4110794
46,2010-01-08,-39.05867,-3.4126017
47,2010-01-08,-39.066082,-3.4110367
48,2010-02-05,-38.5942,-3.696227
