trajectory,time,lon,lat
1,2010-01-08,-34.91525,-8.179338
2,2010-01-08,-34.91817,-8.2164135
3,2010-01-08,-34.915833,-8.207975
4,2010-01-08,-34.916042,-8.182579
5,2010-01-08,-34.914436,-8.180684
6,2010-01-08,-35.02943,-8.6123495
7,2010-01-08,-35.028267,-8.610932
8,2010-01-08,-34.92227,-8.226179
9,2010-01-08,-34.926273,-8.227663
10,2010-01-08,-34.921246,-8.224604
11,2010-01-08,-34.923653,-8.225448
12,2010-01-08,-35.028347,-8.607526
13,2010-01-08,-35.030117,-8.608051
14,2010-01-08,-34.926456,-8.229045
15,2010-01-08,-34.925797,-8.227797
16,2010-01-08,-34.928204,-8.236582
17,2010-01-08,-34.92504,-8.22762
18,2010-01-08,-34.929966,-8.239568
19,2010-01-08,-34.930588,-8.2398
20,2010-01-08,-34.930885,-8.239438
21,2010-01-08,-35.031464,-8.616104
22,2010-01-08,-35.029095,-8.608441
23,2010-01-08,-34.929768,-8.240419
24,2010-01-08,-34.93247,-8.241894
25,2010-01-08,-34.925297,-8.226635
26,2010-01-08,-35.05047,-8.613001
27,2010-01-08,-34.934948,-8.245213
28,2010-01-08,-34.937767,-8.246921
29,2010-01-08,-35.02775,-8.612645
30,2010-01-08,-34.92821,-8.235711
31,2010-01-08,-35.029633,-8.608352
32,2010-01-08,-34.9394,-8.250729
33,2010-01-08,-35.049774,-8.60654
34,2010-01-08,-35.01176,-8.5674305
35,2010-01-08,-34.93791,-8.246334
36,2010-01-08,-35.02769,-8.611181
37,2010-01-08,-35.030552,-8.61208
38,2010-01-08,-34.94114,-8.253455
39,2010-01-08,-35.010136,-8.567574
40,2010-01-08,-35.030018,-8.6112385
41,2010-01-08,-35.05132,-8.591832
42,2010-01-08,-35.051647,-8.617476
43,2010-01-08,-35.051674,-8.617426
44,2010-01-08,-34.93629,-8.244978
45,2010-01-08,-35.046406,-8.61345
46,2010-01-08,-34.939774,-8.355716
47,2010-01-08,-35.05177,-8.617224
48,2010-01-08,-34.94081,-8.356292
49,2010-01-08,-35.05182,-8.617123
50,2010-01-08,-35.01003,-8.566339
51,2010-01-08,-34.948486,-8.357659
52,2010-01-08,-34.946224,-8.358723
53,2010-01-08,-34.94992,-8.357784
54,2010-01-08,-34.952778,-8.378893
55,2010-01-08,-35.014854,-8.559437
56,2010-01-08,-34.949238,-8.361122
57,2010-01-08,-34.95253,-8.380764
58,2010-01-08,-35.00997,-8.568511
59,2010-01-08,-35.041992,-8.589077
60,2010-01-08,-34.953114,-8.35527
61,2010-01-08,-34.95349,-8.358866
62,2010-01-08,-34.95398,-8.358812
63,2010-01-08,-34.95696,-8.381895
64,2010-01-08,-35.011242,-8.567
65,2010-01-08,-34.95733,-8.383691
66,2010-01-08,-35.045612,-8.600254
67,2010-01-08,-35.052177,-8.6163645
68,2010-01-08,-34.95594,-8.379695
69,2010-01-08,-35.01178,-8.566075
70,2010-01-08,-35.01035,-8.568262
71,2010-01-08,-35.013187,-8.562132
72,2010-01-08,-34.961445,-8.386451
73,2010-01-08,-34.959023,-8.386508
74,2010-01-08,-35.05419,-8.617923
75,2010-01-08,-34.96149,-8.385513
76,2010-01-08,-35.016106,-8.559968
77,2010-01-08,-35.01307,-8.565773
78,2010-01-08,-35.016342,-8.559564
79,2010-01-08,-35.034603,-8.580969
80,2010-01-08,-35.010117,-8.567002
81,2010-01-08,-35.05429,-8.61772
82,2010-01-08,-35.01091,-8.568745
83,2010-01-08,-34.963215,-8.389095
84,2010-01-08,-35.05432,-8.617652
85,2010-01-08,-34.954166,-8.357859
86,2010-01-08,-34.956753,-8.381498
87,2010-01-08,-35.031364,-8.616574
88,2010-01-08,-35.014076,-8.5621395
89,2010-01-08,-35.0544,-8.617483
90,2010-01-08,-35.015446,-8.560539
91,2010-01-08,-35.017643,-8.557336
92,2010-01-08,-35.029305,-8.610629
93,2010-01-08,-35.015694,-8.557779
94,2010-01-08,-34.96828,-8.401602
95,2010-01-08,-35.01449,-8.560741
96,2010-01-08,-35.012775,-8.565209
97,2010-01-08,-35.016388,-8.560293
98,2010-01-08,-35.01239,-8.566156
99,2010-01-08,-35.01391,-8.56146
100,2010-01-08,-35.01467,-8.560084
101,2010-01-08,-34.96829,-8.40258
102,2010-01-08,-35.054577,-8.61711
103,2010-01-08,-35.054592,-8.617077
104,2010-01-08,-35.014534,-8.559907
105,2010-01-08,-35.05285,-8.617617
106,2010-01-08,-34.968346,-8.40173
107,2010-01-08,-35.017193,-8.557426
108,2010-01-08,-35.016388,-8.55819
109,2010-01-08,-34.970768,-8.415683
110,2010-01-08,-35.0117,-8.565442
111,2010-01-08,-34.96976,-8.422984
112,2010-01-08,-35.032703,-8.574078
113,2010-01-08,-35.01707,-8.557027
114,2010-01-08,-34.969086,-8.411294
115,2010-01-08,-35.018467,-8.557377
116,2010-01-08,-35.033653,-8.58009
117,2010-01-08,-35.01595,-8.561351
118,2010-01-08,-35.02083,-8.555169
119,2010-01-08,-35.013668,-8.561318
120,2010-01-08,-35.01347,-8.566969
121,2010-01-08,-35.016182,-8.559305
122,2010-01-08,-35.05236,-8.598317
123,2010-01-08,-35.016968,-8.559558
124,2010-01-08,-35.01318,-8.562374
125,2010-01-08,-35.01545,-8.558061
126,2010-01-08,-35.02003,-8.555573
127,2010-01-08,-35.046352,-8.601296
128,2010-01-08,-35.011326,-8.566451
129,2010-01-08,-35.01508,-8.563564
130,2010-01-08,-35.022186,-8.555202
131,2010-01-08,-35.01992,-8.556809
132,2010-01-08,-35.01678,-8.555244
133,2010-01-08,-35.021004,-8.558197
134,2010-01-08,-35.021175,-8.556832
135,2010-01-08,-35.01989,-8.556205
136,2010-01-08,-35.015167,-8.558042
137,2010-01-08,-35.01611,-8.555985
138,2010-01-08,-35.02312,-8.554935
139,2010-01-08,-35.033627,-8.5811405
140,2010-01-08,-35.05235,-8.617219
141,2010-01-08,-35.0531,-8.611287
142,2010-01-08,-35.026962,-8.5562725
143,2010-01-08,-35.01587,-8.55963
144,2010-01-08,-35.016037,-8.561895
145,2010-01-15,-34.96743,-8.402922
146,2010-01-08,-35.01475,-8.558706
147,2010-01-08,-35.020973,-8.558129
148,2010-01-08,-35.03079,-8.6114
149,2010-01-08,-35.05431,-8.617707
150,2010-01-08,-35.020775,-8.558667
151,2010-01-08,-35.041668,-8.588466
152,2010-01-08,-35.014133,-8.566557
153,2010-01-08,-35.02159,-8.554353
154,2010-01-08,-35.019855,-8.556548
155,2010-01-08,-35.034664,-8.580647
156,2010-01-08,-35.019775,-8.556365
157,2010-01-08,-35.015377,-8.557103
158,2010-01-08,-35.052185,-8.59661
159,2010-01-08,-35.053272,-8.612445
160,2010-01-08,-35.034447,-8.580255
161,2010-01-08,-35.03495,-8.579431
162,2010-01-08,-35.011967,-8.56556
163,2010-01-08,-35.01619,-8.56167
164,2010-01-08,-35.01572,-8.561097
165,2010-01-08,-35.053493,-8.589339
166,2010-01-08,-35.018837,-8.556068
167,2010-01-08,-35.053123,-8.612155
168,2010-01-08,-35.056274,-8.614523
169,2010-01-08,-35.01699,-8.557911
170,2010-01-08,-35.018246,-8.557854
171,2010-01-08,-35.00943,-8.556103
172,2010-01-08,-35.019886,-8.556183
173,2010-01-08,-35.018253,-8.555629
174,2010-01-15,-35.016132,-8.55672
175,2010-01-08,-35.05166,-8.598662
176,2010-01-08,-35.01627,-8.555698
177,2010-01-08,-35.01971,-8.556855
178,2010-01-15,-35.019333,-8.554814
179,2010-01-15,-35.026215,-8.555234
180,2010-01-08,-35.034286,-8.578747
181,2010-01-08,-35.042366,-8.582757
182,2010-01-08,-35.052845,-8.611618
183,2010-01-15,-35.019344,-8.556016
184,2010-01-08,-35.03323,-8.580607
185,2010-01-15,-35.015858,-8.557977
186,2010-01-08,-35.05276,-8.611452
187,2010-01-08,-35.052174,-8.609989
188,2010-01-15,-35.01913,-8.556466
189,2010-01-15,-35.018665,-8.557753
190,2010-01-08,-35.02813,-8.609424
191,2010-01-08,-35.053856,-8.61093
192,2010-01-15,-35.016754,-8.5567665
193,2010-01-15,-35.021156,-8.5576935
194,2010-01-15,-35.052612,-8.611163
195,2010-01-15,-35.01382,-8.561413
196,2010-01-15,-35.0336,-8.579622
197,2010-01-15,-35.01526,-8.559958
198,2010-01-15,-35.018444,-8.556944
199,2010-01-15,-34.970615,-8.416752
200,2010-01-15,-35.010117,-8.556578
201,2010-01-15,-35.03176,-8.574535
202,2010-01-15,-35.02213,-8.558275
203,2010-01-15,-35.01546,-8.55949
204,2010-01-15,-35.01765,-8.557723
205,2010-01-15,-35.01775,-8.558368
206,2010-01-15,-35.0231,-8.555283
207,2010-01-15,-35.02173,-8.55765
208,2010-01-15,-35.01975,-8.556896
209,2010-01-15,-35.01701,-8.556233
210,2010-01-15,-35.022213,-8.556118
211,2010-01-15,-35.012863,-8.559438
212,2010-01-15,-35.033955,-8.581088
213,2010-01-15,-35.016026,-8.555358
214,2010-01-15,-35.04272,-8.5880375
215,2010-01-15,-35.018925,-8.555715
216,2010-01-15,-35.034885,-8.580824
217,2010-01-15,-35.02103,-8.554649
218,2010-01-15,-35.019268,-8.555278
219,2010-01-15,-35.011215,-8.564274
220,2010-01-15,-35.035156,-8.581015
221,2010-01-15,-35.05061,-8.612109
222,2010-01-15,-35.036278,-8.569936
