trajectory,time,lon,lat
1,2010-01-08,-45.14598,-23.502659
2,2010-01-08,-45.146988,-23.503075
3,2010-01-08,-45.145973,-23.50265
4,2010-01-08,-45.14597,-23.50264
5,2010-01-08,-45.145966,-23.50263
6,2010-01-08,-45.14797,-23.503141
7,2010-01-08,-45.145958,-23.50261
8,2010-01-08,-45.146904,-23.502903
9,2010-01-08,-45.146893,-23.502876
10,2010-01-08,-45.146893,-23.502876
11,2010-01-08,-45.146877,-23.502848
12,2010-01-08,-45.14594,-23.502571
13,2010-01-08,-45.14685,-23.50279
14,2010-01-08,-45.146835,-23.502762
15,2010-01-08,-45.14682,-23.502733
16,2010-01-08,-45.14681,-23.502705
17,2010-01-08,-45.145916,-23.502522
18,2010-01-08,-45.146793,-23.502676
19,2010-01-08,-45.14678,-23.502647
20,2010-01-08,-45.147682,-23.502584
21,2010-01-08,-45.19614,-23.522116
22,2010-01-08,-45.146736,-23.502562
23,2010-01-08,-45.145893,-23.502474
24,2010-01-08,-45.147587,-23.5024
25,2010-01-08,-45.145885,-23.502453
26,2010-01-08,-45.14756,-23.502352
27,2010-01-08,-45.146683,-23.502447
28,2010-01-08,-45.146667,-23.502419
29,2010-01-08,-45.14587,-23.502424
30,2010-01-08,-45.145866,-23.502415
31,2010-01-08,-45.146626,-23.502333
32,2010-01-08,-45.14661,-23.502304
33,2010-01-08,-45.147392,-23.502026
34,2010-01-08,-45.147392,-23.502026
35,2010-01-08,-45.14737,-23.50198
36,2010-01-08,-45.147556,-23.50325
37,2010-01-08,-45.14584,-23.502356
38,2010-01-08,-45.145836,-23.502346
39,2010-01-08,-45.147274,-23.501793
40,2010-01-08,-45.13797,-23.504631
41,2010-01-08,-45.14723,-23.501701
42,2010-01-08,-45.14723,-23.501701
43,2010-01-08,-45.1472,-23.501654
44,2010-01-08,-45.145813,-23.502296
45,2010-01-08,-45.147156,-23.50156
46,2010-01-08,-45.147133,-23.501514
47,2010-01-08,-45.147106,-23.501467
48,2010-01-08,-45.145794,-23.502258
49,2010-01-08,-45.14706,-23.501373
50,2010-01-08,-45.1464,-23.501873
51,2010-01-08,-45.1389,-23.504862
52,2010-01-08,-45.146374,-23.501816
53,2010-01-08,-45.163322,-23.499435
54,2010-01-08,-45.136932,-23.50663
55,2010-01-08,-45.14633,-23.50173
56,2010-01-08,-45.14632,-23.501701
57,2010-01-08,-45.146305,-23.501673
58,2010-01-08,-45.146305,-23.501673
59,2010-01-08,-45.14687,-23.501
60,2010-01-08,-45.14761,-23.500786
61,2010-01-08,-45.136436,-23.507267
62,2010-01-08,-45.14757,-23.503067
63,2010-01-08,-45.16623,-23.492964
64,2010-01-08,-45.14675,-23.500767
65,2010-01-08,-45.146206,-23.501472
66,2010-01-08,-45.1467,-23.500673
67,2010-01-08,-45.1467,-23.500673
68,2010-01-08,-45.14618,-23.501415
69,2010-01-08,-45.146656,-23.50058
70,2010-01-08,-45.146152,-23.501356
71,2010-01-08,-45.146137,-23.501328
72,2010-01-08,-45.146122,-23.501299
73,2010-01-08,-45.145695,-23.502043
74,2010-01-08,-45.146538,-23.500345
75,2010-01-08,-45.146095,-23.501242
76,2010-01-08,-45.14651,-23.500298
77,2010-01-08,-45.14753,-23.500345
78,2010-01-08,-45.146465,-23.500204
79,2010-01-08,-45.146442,-23.500158
80,2010-01-08,-45.146027,-23.501099
81,2010-01-08,-45.146393,-23.500063
82,2010-01-08,-45.145657,-23.501965
83,2010-01-08,-45.14391,-23.50034
84,2010-01-08,-45.146347,-23.49997
85,2010-01-08,-45.14565,-23.501945
86,2010-01-08,-45.145645,-23.501936
87,2010-01-08,-45.14659,-23.499317
88,2010-01-08,-45.145927,-23.500896
89,2010-01-08,-45.14623,-23.499735
90,2010-01-08,-45.145626,-23.501896
91,2010-01-08,-45.146202,-23.499687
92,2010-01-08,-45.145622,-23.501886
93,2010-01-08,-45.145874,-23.500782
94,2010-01-08,-45.14561,-23.501867
95,2010-01-08,-45.145844,-23.500725
96,2010-01-08,-45.145832,-23.500696
97,2010-01-08,-45.145817,-23.500668
98,2010-01-08,-45.14559,-23.501827
99,2010-01-08,-45.1458,-23.500639
100,2010-01-08,-45.14579,-23.500608
101,2010-01-08,-45.145584,-23.501808
102,2010-01-08,-45.145966,-23.499218
103,2010-01-08,-45.155827,-23.500443
104,2010-01-08,-45.145573,-23.50178
105,2010-01-08,-45.164715,-23.499426
106,2010-01-08,-45.14556,-23.501759
107,2010-01-08,-45.155785,-23.50036
108,2010-01-08,-45.15577,-23.500332
109,2010-01-08,-45.145554,-23.50174
110,2010-01-08,-45.14555,-23.50173
111,2010-01-08,-45.145542,-23.50172
112,2010-01-08,-45.14554,-23.50171
113,2010-01-08,-45.155697,-23.500193
114,2010-01-08,-45.14553,-23.50169
115,2010-01-08,-45.15568,-23.500164
116,2010-01-08,-45.145527,-23.50168
117,2010-01-08,-45.14552,-23.50167
118,2010-01-08,-45.145565,-23.500149
119,2010-01-08,-45.145554,-23.50012
120,2010-01-08,-45.145508,-23.501642
121,2010-01-08,-45.145523,-23.500061
122,2010-01-08,-45.155582,-23.49997
123,2010-01-08,-45.14551,-23.500032
124,2010-01-08,-45.145493,-23.501612
125,2010-01-08,-45.155556,-23.499914
126,2010-01-08,-45.14547,-23.499947
127,2010-01-08,-45.155525,-23.499859
128,2010-01-08,-45.145477,-23.501574
129,2010-01-08,-45.145428,-23.499859
130,2010-01-08,-45.145412,-23.49983
131,2010-01-08,-45.155468,-23.499746
132,2010-01-08,-45.1454,-23.499802
133,2010-01-08,-45.164585,-23.493498
134,2010-01-08,-45.14537,-23.499744
135,2010-01-08,-45.155426,-23.499664
136,2010-01-08,-45.145344,-23.499687
137,2010-01-08,-45.145336,-23.499657
138,2010-01-08,-45.14533,-23.499624
139,2010-01-08,-45.14533,-23.49959
140,2010-01-08,-45.16365,-23.49899
141,2010-01-08,-45.15539,-23.499508
142,2010-01-08,-45.145325,-23.499521
143,2010-01-08,-45.146206,-23.501173
144,2010-01-08,-45.14532,-23.499454
145,2010-01-08,-45.14543,-23.501417
146,2010-01-08,-45.14543,-23.501406
147,2010-01-08,-45.1669,-23.496231
148,2010-01-08,-45.14543,-23.501394
149,2010-01-08,-45.155373,-23.499273
150,2010-01-08,-45.147305,-23.499271
151,2010-01-08,-45.14531,-23.499249
